Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
40 	 Spectrogram 1 	 1 	 305.085387982 	 305.313978536	 1749.543	2493.098	0.2286	743.556	-67.68	NOBO
46 	 Waveform 1 	 1 	 312.860307925 	 313.044938757	 1618.327	2361.882	0.1846	743.556		NOBO
46 	 Spectrogram 1 	 1 	 312.860307925 	 313.044938757	 1618.327	2361.882	0.1846	743.556	-70.60	NOBO
47 	 Waveform 1 	 1 	 311.620643769 	 311.831650434	 1662.065	2274.405	0.2110	612.340		NOBO
47 	 Spectrogram 1 	 1 	 311.620643769 	 311.831650434	 1662.065	2274.405	0.2110	612.340	-72.67	NOBO
48 	 Waveform 1 	 1 	 363.082477212 	 363.284691932	 1662.065	2449.360	0.2022	787.294		NOBO
48 	 Spectrogram 1 	 1 	 363.082477212 	 363.284691932	 1662.065	2449.360	0.2022	787.294	-65.49	NOBO
49 	 Waveform 1 	 1 	 363.891336094 	 364.119926647	 1224.680	2186.928	0.2286	962.248		NOBO
49 	 Spectrogram 1 	 1 	 363.891336094 	 364.119926647	 1224.680	2186.928	0.2286	962.248	-68.63	NOBO
51 	 Waveform 1 	 1 	 364.234221924 	 364.489188311	 1749.543	2668.052	0.2550	918.510		NOBO
51 	 Spectrogram 1 	 1 	 364.234221924 	 364.489188311	 1749.543	2668.052	0.2550	918.510	-60.77	NOBO
52 	 Waveform 1 	 1 	 365.236503582 	 365.649724967	 1399.634	2668.052	0.4132	1268.418		NOBO
52 	 Spectrogram 1 	 1 	 365.236503582 	 365.649724967	 1399.634	2668.052	0.4132	1268.418	-60.59	NOBO
53 	 Waveform 1 	 1 	 366.625630792 	 366.854221346	 1793.281	2580.575	0.2286	787.294		NOBO
53 	 Spectrogram 1 	 1 	 366.625630792 	 366.854221346	 1793.281	2580.575	0.2286	787.294	-56.03	NOBO
54 	 Waveform 1 	 1 	 367.654288284 	 367.935630503	 1749.543	2668.052	0.2813	918.510		NOBO
54 	 Spectrogram 1 	 1 	 367.654288284 	 367.935630503	 1749.543	2668.052	0.2813	918.510	-59.30	NOBO
56 	 Waveform 1 	 1 	 368.832408829 	 369.104959105	 1662.065	2711.791	0.2726	1049.726		NOBO
56 	 Spectrogram 1 	 1 	 368.832408829 	 369.104959105	 1662.065	2711.791	0.2726	1049.726	-61.96	NOBO
60 	 Waveform 1 	 1 	 350.90719062 	 351.126989229	 1880.758	2624.314	0.2198	743.556		NOBO
60 	 Spectrogram 1 	 1 	 350.90719062 	 351.126989229	 1880.758	2624.314	0.2198	743.556	-65.75	NOBO
74 	 Waveform 1 	 1 	 340.179592243 	 340.43455863	 1793.281	2580.575	0.2550	787.294		NOBO
74 	 Spectrogram 1 	 1 	 340.179592243 	 340.43455863	 1793.281	2580.575	0.2550	787.294	-72.29	NOBO
75 	 Waveform 1 	 1 	 341.225833623 	 341.498383898	 1793.281	2624.314	0.2726	831.033		NOBO
75 	 Spectrogram 1 	 1 	 341.225833623 	 341.498383898	 1793.281	2624.314	0.2726	831.033	-69.74	NOBO
77 	 Waveform 1 	 1 	 342.140195837 	 342.465497779	 1837.020	2711.791	0.3253	874.771		NOBO
77 	 Spectrogram 1 	 1 	 342.140195837 	 342.465497779	 1837.020	2711.791	0.3253	874.771	-71.32	NOBO
78 	 Waveform 1 	 1 	 343.098517773 	 343.379859993	 1837.020	2711.791	0.2813	874.771		NOBO
78 	 Spectrogram 1 	 1 	 343.098517773 	 343.379859993	 1837.020	2711.791	0.2813	874.771	-71.73	NOBO
80 	 Waveform 1 	 1 	 404.137625205 	 404.42775937	 2493.098	3848.994	0.2901	1355.895		NOBO
80 	 Spectrogram 1 	 1 	 404.137625205 	 404.42775937	 2493.098	3848.994	0.2901	1355.895	-73.00	NOBO
81 	 Waveform 1 	 1 	 406.880711849 	 407.14447018	 2361.882	4023.948	0.2638	1662.065		NOBO
81 	 Spectrogram 1 	 1 	 406.880711849 	 407.14447018	 2361.882	4023.948	0.2638	1662.065	-72.18	NOBO
84 	 Waveform 1 	 1 	 415.419110859 	 415.674077246	 2536.837	4023.948	0.2550	1487.111		NOBO
84 	 Spectrogram 1 	 1 	 415.419110859 	 415.674077246	 2536.837	4023.948	0.2550	1487.111	-73.83	NOBO
85 	 Waveform 1 	 1 	 418.54025111 	 418.82159333	 2230.667	3980.209	0.2813	1749.543		NOBO
85 	 Spectrogram 1 	 1 	 418.54025111 	 418.82159333	 2230.667	3980.209	0.2813	1749.543	-75.05	NOBO
4 	 Waveform 1 	 1 	 108.427293291 	 108.585548289	 3061.699	3761.516	0.1583	699.817		NOBOF
4 	 Spectrogram 1 	 1 	 108.427293291 	 108.585548289	 3061.699	3761.516	0.1583	699.817	-73.57	NOBOF
5 	 Waveform 1 	 1 	 126.762763434 	 127.105649265	 1880.758	4286.379	0.3429	2405.621		NOBOF
5 	 Spectrogram 1 	 1 	 126.762763434 	 127.105649265	 1880.758	4286.379	0.3429	2405.621	-69.80	NOBOF
15 	 Waveform 1 	 1 	 264.282240556 	 264.502039165	 1749.543	2580.575	0.2198	831.033		NOBOF
15 	 Spectrogram 1 	 1 	 264.282240556 	 264.502039165	 1749.543	2580.575	0.2198	831.033	-75.11	NOBOF
27 	 Waveform 1 	 1 	 298.70243637 	 298.957402757	 1618.327	2318.144	0.2550	699.817		NOBOF
27 	 Spectrogram 1 	 1 	 298.70243637 	 298.957402757	 1618.327	2318.144	0.2550	699.817	-75.49	NOBOF
28 	 Waveform 1 	 1 	 299.74867775 	 299.959684415	 1705.804	2186.928	0.2110	481.124		NOBOF
28 	 Spectrogram 1 	 1 	 299.74867775 	 299.959684415	 1705.804	2186.928	0.2110	481.124	-72.21	NOBOF
29 	 Waveform 1 	 1 	 300.786127186 	 300.970758017	 1530.850	2230.667	0.1846	699.817		NOBOF
29 	 Spectrogram 1 	 1 	 300.786127186 	 300.970758017	 1530.850	2230.667	0.1846	699.817	-73.70	NOBOF
30 	 Waveform 1 	 1 	 300.979549962 	 301.199348571	 1443.373	2405.621	0.2198	962.248		NOBOF
30 	 Spectrogram 1 	 1 	 300.979549962 	 301.199348571	 1443.373	2405.621	0.2198	962.248	-75.04	NOBOF
31 	 Waveform 1 	 1 	 302.052167175 	 302.236798006	 1530.850	2186.928	0.1846	656.078		NOBOF
31 	 Spectrogram 1 	 1 	 302.052167175 	 302.236798006	 1530.850	2186.928	0.1846	656.078	-73.38	NOBOF
32 	 Waveform 1 	 1 	 302.280757728 	 302.509348282	 1793.281	2580.575	0.2286	787.294		NOBOF
32 	 Spectrogram 1 	 1 	 302.280757728 	 302.509348282	 1793.281	2580.575	0.2286	787.294	-76.59	NOBOF
36 	 Waveform 1 	 1 	 304.21498549 	 304.443576043	 1487.111	2011.974	0.2286	524.863		NOBOF
36 	 Spectrogram 1 	 1 	 304.21498549 	 304.443576043	 1487.111	2011.974	0.2286	524.863	-75.55	NOBOF
41 	 Waveform 1 	 1 	 306.008542141 	 306.22834075	 1880.758	2536.837	0.2198	656.078		NOBOF
41 	 Spectrogram 1 	 1 	 306.008542141 	 306.22834075	 1880.758	2536.837	0.2198	656.078	-71.10	NOBOF
42 	 Waveform 1 	 1 	 306.887736578 	 307.13391102	 1705.804	2755.530	0.2462	1049.726		NOBOF
42 	 Spectrogram 1 	 1 	 306.887736578 	 307.13391102	 1705.804	2755.530	0.2462	1049.726	-74.22	NOBOF
43 	 Waveform 1 	 1 	 307.740555182 	 307.942769902	 1837.020	2755.530	0.2022	918.510		NOBOF
43 	 Spectrogram 1 	 1 	 307.740555182 	 307.942769902	 1837.020	2755.530	0.2022	918.510	-75.92	NOBOF
44 	 Waveform 1 	 1 	 308.549414064 	 308.786796562	 1793.281	2755.530	0.2374	962.248		NOBOF
44 	 Spectrogram 1 	 1 	 308.549414064 	 308.786796562	 1793.281	2755.530	0.2374	962.248	-75.37	NOBOF
57 	 Waveform 1 	 1 	 362.423084741 	 362.686843072	 1355.895	2143.190	0.2638	787.294		NOBOF
57 	 Spectrogram 1 	 1 	 362.423084741 	 362.686843072	 1355.895	2143.190	0.2638	787.294	-70.15	NOBOF
58 	 Waveform 1 	 1 	 349.988432433 	 350.234606875	 1837.020	2536.837	0.2462	699.817		NOBOF
58 	 Spectrogram 1 	 1 	 349.988432433 	 350.234606875	 1837.020	2536.837	0.2462	699.817	-71.33	NOBOF
61 	 Waveform 1 	 1 	 352.560076161 	 352.797458659	 1793.281	2318.144	0.2374	524.863		NOBOF
61 	 Spectrogram 1 	 1 	 352.560076161 	 352.797458659	 1793.281	2318.144	0.2374	524.863	-70.69	NOBOF
62 	 Waveform 1 	 1 	 353.773364484 	 353.957995316	 1749.543	2405.621	0.1846	656.078		NOBOF
62 	 Spectrogram 1 	 1 	 353.773364484 	 353.957995316	 1749.543	2405.621	0.1846	656.078	-71.94	NOBOF
63 	 Waveform 1 	 1 	 326.812990474 	 327.041581028	 1837.020	2624.314	0.2286	787.294		NOBOF
63 	 Spectrogram 1 	 1 	 326.812990474 	 327.041581028	 1837.020	2624.314	0.2286	787.294	-71.97	NOBOF
64 	 Waveform 1 	 1 	 327.700976855 	 327.929567409	 1880.758	2449.360	0.2286	568.601		NOBOF
64 	 Spectrogram 1 	 1 	 327.700976855 	 327.929567409	 1880.758	2449.360	0.2286	568.601	-72.15	NOBOF
65 	 Waveform 1 	 1 	 328.580171292 	 328.782386013	 1880.758	2580.575	0.2022	699.817		NOBOF
65 	 Spectrogram 1 	 1 	 328.580171292 	 328.782386013	 1880.758	2580.575	0.2022	699.817	-73.35	NOBOF
66 	 Waveform 1 	 1 	 329.424197952 	 329.626412672	 1749.543	2580.575	0.2022	831.033		NOBOF
66 	 Spectrogram 1 	 1 	 329.424197952 	 329.626412672	 1749.543	2580.575	0.2022	831.033	-74.15	NOBOF
67 	 Waveform 1 	 1 	 317.393975085 	 317.613773694	 1705.804	2580.575	0.2198	874.771		NOBOF
67 	 Spectrogram 1 	 1 	 317.393975085 	 317.613773694	 1705.804	2580.575	0.2198	874.771	-72.94	NOBOF
69 	 Waveform 1 	 1 	 318.492968131 	 318.739142573	 1793.281	2668.052	0.2462	874.771		NOBOF
69 	 Spectrogram 1 	 1 	 318.492968131 	 318.739142573	 1793.281	2668.052	0.2462	874.771	-71.62	NOBOF
70 	 Waveform 1 	 1 	 319.460082011 	 319.785383953	 1574.588	2799.268	0.3253	1224.680		NOBOF
70 	 Spectrogram 1 	 1 	 319.460082011 	 319.785383953	 1574.588	2799.268	0.3253	1224.680	-74.40	NOBOF
71 	 Waveform 1 	 1 	 320.435987836 	 320.611826724	 1749.543	2624.314	0.1758	874.771		NOBOF
71 	 Spectrogram 1 	 1 	 320.435987836 	 320.611826724	 1749.543	2624.314	0.1758	874.771	-72.58	NOBOF
72 	 Waveform 1 	 1 	 321.473437272 	 321.702027826	 1837.020	2580.575	0.2286	743.556		NOBOF
72 	 Spectrogram 1 	 1 	 321.473437272 	 321.702027826	 1837.020	2580.575	0.2286	743.556	-74.13	NOBOF
73 	 Waveform 1 	 1 	 322.422967264 	 322.695517539	 1837.020	2668.052	0.2726	831.033		NOBOF
73 	 Spectrogram 1 	 1 	 322.422967264 	 322.695517539	 1837.020	2668.052	0.2726	831.033	-73.23	NOBOF
79 	 Waveform 1 	 1 	 343.995296099 	 344.215094708	 1924.497	2536.837	0.2198	612.340		NOBOF
79 	 Spectrogram 1 	 1 	 343.995296099 	 344.215094708	 1924.497	2536.837	0.2198	612.340	-71.63	NOBOF
82 	 Waveform 1 	 1 	 409.650174325 	 409.9227246	 2580.575	3980.209	0.2726	1399.634		NOBOF
82 	 Spectrogram 1 	 1 	 409.650174325 	 409.9227246	 2580.575	3980.209	0.2726	1399.634	-75.14	NOBOF
83 	 Waveform 1 	 1 	 412.148507554 	 412.429849773	 2580.575	3936.471	0.2813	1355.895		NOBOF
83 	 Spectrogram 1 	 1 	 412.148507554 	 412.429849773	 2580.575	3936.471	0.2813	1355.895	-74.60	NOBOF
86 	 Waveform 1 	 1 	 421.390260892 	 421.636435334	 2230.667	3892.732	0.2462	1662.065		NOBOF
86 	 Spectrogram 1 	 1 	 421.390260892 	 421.636435334	 2230.667	3892.732	0.2462	1662.065	-75.98	NOBOF
87 	 Waveform 1 	 1 	 424.159723368 	 424.405897811	 2580.575	3848.994	0.2462	1268.418		NOBOF
87 	 Spectrogram 1 	 1 	 424.159723368 	 424.405897811	 2580.575	3848.994	0.2462	1268.418	-75.79	NOBOF
88 	 Waveform 1 	 1 	 427.335035092 	 427.554833701	 2493.098	3848.994	0.2198	1355.895		NOBOF
88 	 Spectrogram 1 	 1 	 427.335035092 	 427.554833701	 2493.098	3848.994	0.2198	1355.895	-75.85	NOBOF
